Snake,Nstar,Nnode,l_median,b_median,Loga_part_p50
1086,750,6,225.7208672407313,-1.9140258394200207,7.6124021559322035
1087,711,3,229.06796325188265,-0.3066846275259605,7.7713075
1088,698,6,114.40347249732184,5.100527531854212,8.00546358591954
1089,1614,11,17.490267522567045,-9.033919914095282,8.032513400000001
109,979,5,235.4534211078467,-1.977568110311102,6.944864
1090,256,3,248.6617544791193,6.162057683207392,8.85514696969697
1091,545,5,168.69956983931306,5.695001972629523,8.256441084415584
1092,322,4,115.25249859169271,0.6960179155814956,8.58913496
1093,808,3,128.5017507651755,1.107801135594859,7.497454
1094,252,4,97.56334155784651,0.6867354830294248,8.533479111111111
1095,1128,7,12.840878990854833,-1.3112924338143457,6.9164747010714285
1096,545,3,331.08407660905795,0.0850558391719317,8.59059940990991
1097,451,6,328.3355104634412,1.9205927579646127,8.125695351526717
1098,1027,7,158.12651562906342,5.928404407898939,8.490701402439024
1099,430,3,148.13922522944887,-8.455480872922104,7.982932376
11,359,5,260.8619137672435,39.6310007643531,9.430062136363636
110,217,3,304.5372873821718,17.49764992337667,9.459989243119264
1100,260,3,95.9727920480475,0.1553202292817869,7.9327052310679615
1101,2537,6,138.31629963038455,1.8146396345737064,8.157442321428572
1102,390,3,131.56465500404926,-3.629129999644103,8.31647074235808
1103,909,6,15.177411400791495,-1.6874686715651417,7.794200620967741
1104,1011,4,36.92025197769968,-3.5273403735235447,8.322367273907103
1105,455,2,15.763039626805307,-3.59169872735734,7.8657866
1106,912,4,102.75517912194071,-0.9145456414226072,8.10528349752883
1107,1477,4,100.34010229844536,0.144295755477908,7.881516263891835
1108,1024,6,203.4850706122134,-5.799323929647221,8.038392
1109,3244,9,335.79258812604326,-5.06614306836069,7.9662397555639375
111,554,4,85.9679503839399,1.8504843058229423,6.876057832374101
1110,162,3,206.2364423049618,4.253142045277876,9.289494244680853
1111,477,3,356.85125390760606,1.1746519219181564,7.645406871407186
1112,285,5,30.467416106289136,-7.488564817238462,9.381064821428572
1113,256,3,19.23712592027165,-5.323472136968055,8.680113379310345
1114,294,3,4.511886438443973,0.550582973286017,9.076256655172417
1115,477,6,60.89834123964998,-4.982934705397869,8.94277256862745
1116,655,3,70.0041697581985,-4.628675293361582,8.200273
1117,374,3,166.84362847308591,11.243384350921682,8.774544
1118,421,4,73.14381396561588,1.4058159235218035,8.033267425
1119,667,4,221.77434829847564,-20.58929964001956,7.783900396875
112,377,5,78.24030665941929,19.97993591889456,9.481530855
1120,1033,6,286.85708688681046,-17.899597617289217,8.016143317102138
1121,295,4,262.3163375619923,9.936761097714545,8.321490214876032
1122,648,8,259.083575392492,0.6416471887095194,8.083297384615385
1123,2570,5,112.39691815736538,-1.5217620701994266,7.1587224
1124,429,7,191.89390677305363,6.645793463641416,9.168107
1125,2315,5,229.5942586226964,3.146650625536823,7.922512855113636
1126,567,6,355.5818758768229,-5.211185645000353,7.7007465
1127,704,4,259.19843982626526,-7.853053314779744,7.497417852264808
1128,547,4,270.799829950342,-7.25581858683964,7.701274126865671
1129,409,3,154.3065241552065,-10.819013855591813,7.9722905
113,208,4,123.97913462839622,20.606861304083736,9.47276227536232
1130,1173,6,202.9455584927965,-3.640280057300724,7.902233
1131,4437,9,262.18538928594114,-7.801430253125814,7.029889
1132,2084,5,247.1005452459135,-1.3121423350541392,7.288689
1133,1046,3,224.56831818885576,-0.3516662667331173,7.600450513478819
1134,871,5,339.58804108259847,1.0516576951979864,7.8620534
1135,1685,3,335.2522409737117,-1.4497467848763614,7.370497
1136,1341,7,214.96081662843483,-0.0513059440150804,7.870906190871369
1137,653,5,17.556710826342574,-2.708278265722609,7.469907200000001
1138,799,8,15.17229996721026,0.449514574723294,7.075863107142857
1139,797,9,248.28837336605875,-2.890235101563997,8.004344033064516
114,226,3,2.831955101979288,-10.84789053763781,9.099596855670104
1140,1493,5,3.968728079952684,-0.9976612172556464,7.134073462369337
1141,139,2,16.51759271757914,-2.588194151487744,7.8670807
1142,268,3,354.8184836933913,-4.528679909389728,8.967843512820513
1143,298,3,352.943450694128,-4.340645944563419,7.564146
1144,102,2,4.815082877273801,-2.990124671656337,7.4121947
1145,173,2,4.393064569639295,-3.629268240551081,7.593641530263158
1146,1708,4,350.9821629822735,15.974079130842751,8.961336
1147,273,2,237.6600259152623,-8.041909257614623,7.728916065789474
1148,1088,2,212.55426150927445,0.3268775643125419,8.057492
1149,89,2,9.43022309350944,-3.004265383499478,7.213484721111111
115,691,3,209.69120729354367,-1.930214379774576,7.874245
1150,1680,6,352.2586718873005,-2.709329528614466,7.370276828348505
1151,385,4,5.48519903990421,-2.5218836690288784,7.2073793
1152,1146,6,3.151486736736603,-2.6664819005519007,6.896986671096346
1153,420,3,111.85461748122276,14.265410715822524,6.625295017050691
1154,463,6,352.0197374098389,5.543652668185448,8.624116277777778
1155,509,3,13.857991117906678,-0.4672624593488902,8.739217023404255
1156,1045,4,31.08171398109345,2.9894682431979964,6.481341
1157,989,5,5.518350389507427,-3.648397655423272,8.537878
1158,673,4,122.47451111634376,-4.935080561202221,7.921909173003803
1159,982,3,14.313010927476036,-0.4756283157340062,8.087342088607596
116,175,3,113.91386937659536,27.282562457161315,9.34569862820513
1160,532,5,27.934328306575985,-6.068304592486905,7.963477
1161,290,3,353.25162898757384,-5.693743510651402,8.17952942857143
1162,224,3,12.250880192832987,-6.294888140015121,8.766506716049383
1163,331,4,59.24945267997637,1.999020859778042,7.7977055
1164,2688,7,161.17594816364107,-15.747948723656238,6.8676357
1165,1402,7,109.04030363899948,-2.421208036466269,8.08639478528827
1166,311,4,209.5581568949719,-7.173578326507351,7.745329467295597
1167,2969,11,102.85518814470886,-4.570128541162517,8.162281290816326
1168,969,7,110.82625553208806,-13.755983752135446,8.117853303797467
1169,559,3,101.4963338999477,-11.664216895170496,8.234885012195122
117,390,3,46.42754070779369,-9.450922825749512,8.230228
1170,2339,7,67.57693602946627,-15.430079711777635,7.6587
1171,361,4,223.5581490937272,13.305901195388484,8.08703345044843
1172,236,4,100.10801365828698,-5.7664993947956535,8.412341279069766
1173,212,3,70.62943999903959,-4.528752351242273,8.432599428571429
1174,997,2,195.2842977246248,-11.960010386155137,6.7692595
1175,1826,6,43.70478310689017,-2.2516011883503206,8.209703292561985
1176,699,4,197.0538910031917,-22.090099928033407,7.541024367838313
1177,497,4,100.5461210995788,-41.78365991891207,7.734879513265306
1178,691,6,114.58868119394876,13.872975869473308,6.904625171814672
1179,453,6,174.58959193065974,-34.57683872230789,7.859261024285715
118,445,5,266.85205897036195,-7.389808946565182,7.970352091176471
