Snake,Nstar,Nnode,sri_final_grade,l_median,b_median,parallax_median,Loga_part_p50,median_pml_lsr,median_pmb_lsr
71,180,3,Gold,111.47314189886478,-10.844029005173542,0.4692074618581163,8.46652219047619,-4.224906820852433,-0.129971936066088
72,165,3,Gold,110.11591260823612,-14.226270652604704,0.4741021915136946,8.731153477777777,-4.2215567652964,-0.4433442501982875
73,290,3,Gold,237.04377002644972,-13.32926075928235,0.4894691821346189,9.446494838709675,-2.3935578719028303,0.3934200071358738
74,178,2,Silver,225.35961615432208,-32.77733802925168,1.1120420483967004,9.340829,-4.160688027976951,5.0472156878625
75,419,3,Gold,143.9635143704363,-9.407585241528825,0.3478514504171137,6.671774839552239,-0.459731738486316,-0.6955166672640518
76,387,3,Gold,213.5060060686388,10.752367090865366,0.4417671307506544,6.928982,-0.96585798019487,-1.4667658407650424
77,239,2,Gold,311.76477168482177,-20.78194184217522,0.5849410654308669,9.338083,-3.799725771865879,-1.1930804859441064
78,242,2,Silver,317.7890070150263,-14.122030508308102,0.503617902876782,8.5722065,-2.19937937315508,-1.2639934252701783
79,780,6,Bronze,295.1484063344926,-48.820081969666354,1.5740653714830029,9.412032835913314,-10.413625835889258,-2.1611769745786957
80,365,3,Gold,117.99277825926714,-9.94200360107016,0.578114989935835,7.192556461034483,-4.1742625891644645,-0.2073151488284084
81,145,2,Silver,277.24444100554234,-12.253059445176689,0.5984241118190599,9.079833,-7.2856815300249,0.0019743367625632
82,153,2,Gold,275.44183000708153,-12.36177937036332,0.4694542653269806,9.277528,-6.919913232539232,0.273315637793466
83,89,2,Bronze,183.9711568197553,14.245551056675865,0.6445355678201132,9.00147267,-0.5058736485574888,-1.4549628820227711
84,148,2,Bronze,46.647986412735776,7.805196911003861,0.3783702797781962,8.063488242268042,-3.850510347898086,-0.34359908099221
85,245,3,Gold,146.04020812131117,2.9022363735453545,0.3597595174728106,7.161352451136364,-0.2635523841316569,0.4067647734654094
86,190,2,Gold,95.96634272413282,19.295721705273323,0.659231111301541,9.494418,-7.687829291672264,0.7925583927319815
87,153,2,Gold,212.7001331216007,38.51335104261832,1.0174009622925042,9.466743,-2.269124802543713,-0.6169509439885714
88,481,5,Silver,80.36292786944942,19.12154882291855,0.6048575447901727,9.5402593,-5.036625926005653,-0.1673680864242335
89,268,2,Gold,321.37188630751393,-2.2139635007331586,0.3269199815691085,6.4647884,-4.596026699249418,-0.3356386814595944
90,211,2,Silver,43.8455109240336,-8.98727551827441,0.4806905276637449,8.684328,-4.681840498825039,0.2325671644765001
91,387,4,Silver,296.0464463043692,-7.25301497019433,0.5221737996933293,8.605286428571429,-7.065003270237959,-0.3000604032477021
92,194,2,Silver,229.4064456153428,1.8723130914510788,0.3438189348768737,6.8940926,-2.2339181504191097,-0.1461331630644154
93,118,2,Silver,241.51438185024185,37.53594645046526,0.8131357361594096,9.495035,-3.252727475666993,-2.0650279131351565
94,192,2,Gold,304.7379777954268,-16.01702375672486,0.9626390091964332,9.196727628318584,-8.354694662522267,-0.4678843186283729
95,439,6,Silver,253.38646704778148,61.51985692113072,1.958772964870554,9.354288339506171,-3.928232519256202,-3.823627691923559
96,195,3,Gold,253.3259913076644,45.57846672627516,1.25262405864805,9.642428694,-7.120759561642108,-2.506290481864946
97,799,3,Gold,27.300098982315124,-2.772097981954833,0.422777538232515,7.727803,-3.96605756435664,0.1526162594078161
98,302,3,Gold,202.7765010321346,-23.071574416169085,0.7448073434024339,9.409124,1.8238993495587288,0.658809339899829
99,295,2,Gold,306.6283729285924,-32.88144327267036,1.4603604869820357,9.477529931818182,-10.603365793681087,-2.106253128614441
100,99,2,Silver,203.30037859641448,5.772125378487941,0.4344699022812439,6.8607925000000005,-0.3016565915897409,-0.2757249165654662
101,226,2,Gold,155.51967952574353,18.592431046336376,0.5273902760796468,8.836338564705882,0.1770186002658962,-0.1825198043710806
102,280,3,Gold,59.01166060449076,55.444884626647394,1.4446719122903682,9.675955,-2.4015565978309423,-1.589833107951617
103,101,2,Gold,222.88778280926505,2.498160017352524,0.3563598587147675,6.866813596825397,-1.378396699252154,-0.3359597446455865
104,105,2,Silver,4.948797808016714,24.76209486239824,0.9877130517583268,9.336996,-2.1139388160951347,1.1196949445658633
105,177,2,Gold,131.63192009686813,29.525216004062887,1.169518938235488,9.373889788,0.6688659251169113,-1.056510892493846
106,175,3,Gold,113.91386937659536,27.282562457161315,0.6492075383582094,9.34569862820513,-4.028295715141919,1.6132866255976888
107,332,3,Gold,213.51042017069645,15.928822635335388,0.551717588838589,8.746706703056768,-0.8980413016804074,-0.0680652726532425
108,248,3,Gold,219.42786175783544,17.47082436773477,0.5768076324629083,9.079595023809524,-2.124865533719002,-0.5733575715549972
109,183,2,Silver,85.00715426932759,16.91335337471643,0.7029988292495514,9.425781,-1.9157968747413,1.8336846611394075
110,317,3,Gold,136.51250035175863,14.689781292674189,0.5527080478321478,8.941588,-2.5546246935313763,1.657135174409524
111,1686,3,Gold,339.11832769975297,-17.102263201772747,2.2784019131702147,8.638354,-14.15677520868515,-7.937161606005812
112,119,2,Silver,56.9715879594108,29.072711707529496,0.9788184463150486,9.392560729729729,-1.317978729151363,1.6524978552760563
113,269,4,Gold,68.64871227572307,27.901640229371512,0.9958242513252,9.576576857723577,1.1054860972484015,2.062933026062624
114,227,2,Gold,97.01284514185188,57.15940598465484,1.4421208948143878,9.362945398395722,2.6378552977410066,1.3909240301091068
115,123,2,Gold,128.53039759589865,18.291898268070533,0.6042557665206787,8.747511,-2.6782465506550417,-0.4339172284719845
116,234,2,Silver,189.02881516793803,24.88782400851659,0.8466194951261639,9.453714181208056,3.167896601742662,-1.969652482553424
117,325,4,Gold,168.28879706365504,19.65930339341061,0.7988410749941349,9.41290930479452,4.44241866351236,-2.1512448152928423
118,416,4,Gold,171.0877627012779,16.31081261764722,0.5486792975941047,9.199406156626509,1.1024263348393952,-0.8937441241053607
119,165,3,Silver,113.66881303732292,49.570541558348985,1.2198129509423514,9.661910041666667,-4.704143515564587,-0.3888060218127169
120,425,3,Gold,148.5574922591403,59.96365870630051,1.3973386664316796,9.512927947080293,-1.8051170260000964,1.8569852852096207
121,1097,7,Silver,198.41370553399665,18.560774619380204,0.6316093483600949,8.903385712177123,-0.6624663248578575,-1.6748862076404305
122,247,4,Silver,277.0921197703266,18.506634449871285,0.7662839417173553,9.456436173913044,-5.015040022915777,-1.9989817681685185
123,205,4,Silver,295.5810195824749,37.60961482745466,1.547835047496239,9.50962007,-12.05815155258932,-3.15860701185364
124,441,3,Gold,176.9482114382225,20.548655596642053,0.5713029366487057,9.07099183206107,0.9425209121334585,0.2387276486446878
125,150,2,Gold,176.45546904542192,25.83785532625226,0.6752292359444463,9.50649852970297,1.7980158956994832,-0.7152802907723642
126,264,2,Gold,175.35701366764755,26.765505899625303,0.6335701695039424,9.23716456281407,2.45776203543952,0.2581069364047954
